smell,metric,evidence_count,citations,inference_type
Duplicated Code,Lines of Code,2,"Fowler1999; Kaur2016","explicit"
Long Method,Lines of Code,3,"Bigonha2019; Kaur2016; Arcelli Fontana2015","explicit"
Long Method,Cyclomatic Complexity,3,"Bigonha2019; Kaur2016; Arcelli Fontana2015","explicit"
Long Method,Number of Parameters,1,"Kaur2016","inferred"
Long Method,Fan-Out,1,"Arcelli Fontana2015","inferred"
Large Class,Lines of Code,2,"Bigonha2019; Kaur2016","explicit"
Large Class,Depth of Inheritance Tree,1,"Kaur2016","explicit"
Large Class,Coupling Between Objects,1,"Kaur2016","explicit"
Large Class,Lack of Cohesion,2,"Bigonha2019; Kaur2016","explicit"
Large Class,WMC,2,"Bigonha2019; Marinescu2004","explicit"
Large Class,NOM (Number of Methods,2,"Bigonha2019; Kaur2016","explicit"
Large Class,NOF (Number of Fields,1,"Bigonha2019","explicit"
Long Parameter List,Lines of Code,1,"Fowler1999","inferred"
Long Parameter List,Number of Parameters,1,"Kaur2016","explicit"
Divergent Change,Change Frequency,1,"Counsell2010","inferred"
Divergent Change,Service Interface Data Cohesion,1,"Bogner2017","inferred"
Shotgun Surgery,Change Frequency,1,"Counsell2010","inferred"
Shotgun Surgery,Afferent Coupling,1,"Counsell2010","inferred"
Primitive Obsession,Number of Parameters,1,"Kaur2016","inferred"
Primitive Obsession,Lack of Cohesion,1,"Kaur2016","inferred"
Switch Statements,Fan-Out,1,"Arcelli Fontana2015","inferred"
Switch Statements,Cyclomatic Complexity,1,"Kaur2016","explicit"
Parallel Inheritance,Lines of Code,1,"Fowler1999","inferred"
Parallel Inheritance,Class Coupling,1,"Kaur2016","inferred"
Parallel Inheritance,Coupling Between Objects,1,"Kaur2016","inferred"
Lazy Class,Lines of Code,1,"Kaur2016","explicit"
Lazy Class,Afferent Coupling,1,"Kaur2016","inferred"
Lazy Class,Depth of Inheritance Tree,1,"Kaur2016","inferred"
Lazy Class,Coupling Between Objects,1,"Kaur2016","inferred"
Lazy Class,NOM (Number of Methods,1,"Kaur2016","explicit"
Lazy Class,WMC,1,"Kaur2016","explicit"
Lazy Class,Specialization Index (SIX),1,"Bogner2017","inferred"
Lazy Class,Number of Fields per Method (NFM),1,"Gupta2020","inferred"
Lazy Class,Number of Computations of Field (NCF),1,"Gupta2020","inferred"
Speculative Generality,Lines of Code,1,"Fowler1999","explicit"
Speculative Generality,Method Inheritance Factor,1,"Jerzyk2023","inferred"
Speculative Generality,Number of Methods needing a Field (NMN),1,"Gupta2020","inferred"
Message Chains,Afferent Coupling,1,"Counsell2010","inferred"
Message Chains,IAUM (Inverse of Avg Num Used Message),1,"Bogner2017","explicit"
Middle Man,Lines of Code,1,"Fowler1999","inferred"
Middle Man,NOM (Number of Methods,1,"Jerzyk2023","inferred"
Middle Man,Cyclomatic Complexity,1,"Jerzyk2023","inferred"
Inappropriate Intimacy,Coupling Between Objects,1,"Kaur2016","explicit"
Inappropriate Intimacy,Response For Class,1,"Kaur2016","explicit"
Inappropriate Intimacy,Tight Class Coupling,1,"Kaur2016","explicit"
Alt. Classes - Diff Interfaces,Number of Parameters,1,"Kaur2016","explicit"
Data Class,WMC,2,"Bigonha2019; Arcelli Fontana2015","explicit"
Data Class,Lines of Code,2,"Bigonha2019; Arcelli Fontana2015","explicit"
Data Class,Access to Foreign Data,1,"Bigonha2019","explicit"
Data Class,Cyclomatic Complexity,1,"Bigonha2019","explicit"
Data Class,NOM (Number of Methods,1,"Bigonha2019","explicit"
Data Class,Lack of Cohesion,1,"Bigonha2019","explicit"
Data Class,NSIC (Num Services Involved in Compound Service),1,"Bogner2017","inferred"
Data Class,Depth of Inheritance Tree,1,"Bigonha2019","explicit"
Data Class,NOF (Number of Fields,1,"Bigonha2019","explicit"
Intensive Coupling,WMC,1,"Kaur2016","inferred"
Intensive Coupling,Lines of Code,1,"Kaur2016","inferred"
Intensive Coupling,Depth of Inheritance Tree,1,"Kaur2016","inferred"
Intensive Coupling,Tight Class Coupling,1,"Kaur2016","explicit"
Intensive Coupling,Number of Dependencies,1,"Fowler1999","explicit"
Intensive Coupling,Class Coupling,1,"Kaur2016","explicit"
Dispersive Coupling,Cyclomatic Complexity,1,"Marinescu2004","inferred"
Dispersive Coupling,Response For Class,1,"Marinescu2004","inferred"
Dispersive Coupling,Instability,1,"Marinescu2004","inferred"
Too Many Arguments,Cyclomatic Complexity,1,"Marinescu2004","inferred"
Too Many Arguments,Response For Class,1,"Marinescu2004","inferred"
Too Many Arguments,Instability,1,"Marinescu2004","inferred"
Ignoring Low Memory Warning,Number of Parameters,1,"Jerzyk2023","inferred"
Massive View Controller,Lines of Code,1,"Jerzyk2023","inferred"
Massive View Controller,Number of Parameters,1,"Jerzyk2023","inferred"
Swiss Army Knife,Number of Interfaces,2,"Moha2010; Bogner2017","explicit"
Swiss Army Knife,Lines of Code,1,"Moha2010","inferred"
Swiss Army Knife,Service Interface Usage Cohesion (SIUC),1,"Bogner2017","inferred"
Swiss Army Knife,WSIC (Weighted Service Interface Count),1,"Bogner2017","explicit"
Unstable Dependencies,Response For Class,1,"Marinescu2004","inferred"
Unstable Dependencies,Instability,1,"Marinescu2004","explicit"
SAP Breaker,Coupling Between Objects,1,"Marinescu2004","inferred"
SAP Breaker,Instability,1,"Marinescu2004","explicit"
Brain Method,Lines of Code,2,"Arcelli Fontana2015; Paiva2017","explicit"
Brain Method,Cyclomatic Complexity,2,"Arcelli Fontana2015; Paiva2017","explicit"
Brain Method,Fan-Out,1,"Arcelli Fontana2015","explicit"
Brain Method,Lack of Cohesion,1,"Arcelli Fontana2015","explicit"
Brain Method,Number of Computations of Field (NCF),1,"Gupta2020","inferred"
God Class,Number of Parameters,1,"Paiva2017","inferred"
God Class,Lines of Code,1,"Paiva2017","inferred"
God Class,Total Service Interface Cohesion (TSIC),1,"Bogner2017","inferred"
God Class,Method Inheritance Factor,1,"Jerzyk2023","inferred"
God Class,Number of Fields per Method (NFM),1,"Gupta2020","inferred"
God Class,Absolute Importance (AIS),1,"Bogner2017","explicit"
God Class,Absolute Criticality (ACS),1,"Bogner2017","inferred"
God Class,RIS (Relative Importance of Service),1,"Bogner2017","inferred"
God Class,SCP (Service Composition Pattern),1,"Bogner2017","inferred"
God Class,TRS (Total Response for Service),1,"Bogner2017","explicit"
God Class,MAIDS (Mean Absolute Importance/Dependence),1,"Bogner2017","inferred"
God Class,DRIS (Dynamic Relative Importance of Service),1,"Bogner2017","inferred"
God Class,DRISS (Dynamic Relative Importance of Service in System),1,"Bogner2017","inferred"
Missing Template Method,Coupling Between Objects,1,"Jerzyk2023","inferred"
Missing Template Method,Response For Class,1,"Jerzyk2023","inferred"
Comments,Lines of Code,1,"Fowler1999","explicit"
Distorted Hierarchy,Coupling Between Objects,1,"Jerzyk2023","inferred"
Tradition Breaker,Number of Parameters,1,"Jerzyk2023","inferred"
Tradition Breaker,Lines of Code,1,"Jerzyk2023","inferred"
Tradition Breaker,Tight Class Coupling,1,"Jerzyk2023","inferred"
Tradition Breaker,Number of Dependencies,1,"Jerzyk2023","inferred"
Tradition Breaker,Specialization Index (SIX),1,"Bogner2017","inferred"
Tradition Breaker,Number of Methods needing a Field (NMN),1,"Gupta2020","inferred"
Temporary Field,Number of Fields per Method (NFM),1,"Gupta2020","explicit"
Temporary Field,Number of Methods needing a Field (NMN),1,"Gupta2020","explicit"
Temporary Field,Number of Computations of Field (NCF),1,"Gupta2020","explicit"
Temporary Field,Tight Class Coupling,1,"Gupta2020","explicit"
Refused Bequest,Specialization Index (SIX),1,"Bigonha2019","explicit"
Data Clumps,Number of Parameters,1,"Fowler1999","inferred"
Data Clumps,Lack of Cohesion,1,"Fowler1999","inferred"
Feature Envy,Coupling Between Objects,2,"Kaur2016; Bigonha2019","explicit"
Feature Envy,Lack of Cohesion,2,"Kaur2016; Bigonha2019","explicit"
Feature Envy,Access to Foreign Data,1,"Marinescu2004","explicit"
Poor API Gateway,Fan-Out,1,"Jerzyk2023","inferred"
Poor API Gateway,Response For Class,1,"Jerzyk2023","inferred"
Poor API Gateway,Coupling Between Objects,1,"Jerzyk2023","inferred"
Overloaded Endpoint,Lines of Code,1,"Carrasco2018","inferred"
Overloaded Endpoint,Cyclomatic Complexity,1,"Carrasco2018","inferred"
Overloaded Endpoint,Number of Parameters,1,"Carrasco2018","inferred"
Overloaded Endpoint,Data Granularity of Service (DGS),1,"Al-Debagy2020","explicit"
Overloaded Endpoint,Number of Operations (NOO),1,"Al-Debagy2020","explicit"
Overloaded Endpoint,Absolute Dependence (ADS),1,"Bogner2017","explicit"
Fat Service (Megastore),WMC,1,"Al-Debagy2020","inferred"
Fat Service (Megastore),Lines of Code,1,"Al-Debagy2020","inferred"
Fat Service (Megastore),Coupling Between Objects,1,"Al-Debagy2020","inferred"
Fat Service (Megastore),Class Coupling,1,"Al-Debagy2020","inferred"
Fat Service (Megastore),Service Granularity Metric (SGM),1,"Al-Debagy2020","explicit"
Fat Service (Megastore),Functional Granularity of Service (FGS),1,"Al-Debagy2020","explicit"
Fat Service (Megastore),Data Granularity of Service (DGS),1,"Al-Debagy2020","explicit"
Fat Service (Megastore),Number of Operations (NOO),1,"Al-Debagy2020","explicit"
Fat Service (Megastore),Absolute Importance (AIS),1,"Bogner2017","explicit"
Fat Service (Megastore),Absolute Dependence (ADS),1,"Bogner2017","explicit"
Fat Service (Megastore),Absolute Criticality (ACS),1,"Bogner2017","explicit"
Leaky Abstraction,Coupling Between Objects,1,"Jerzyk2023","inferred"
Leaky Abstraction,Access to Foreign Data,1,"Jerzyk2023","inferred"
Leaky Abstraction,Response For Class,1,"Jerzyk2023","inferred"
Endpoint Proliferation,Number of Interfaces,1,"Carrasco2018","inferred"
Endpoint Proliferation,Fan-Out,1,"Carrasco2018","inferred"
Endpoint Proliferation,Response For Class,1,"Carrasco2018","inferred"
Endpoint Proliferation,Number of Operations (NOO),1,"Bogner2017","explicit"
Endpoint Proliferation,Service Interface Usage Cohesion (SIUC),1,"Bogner2017","explicit"
Cyclic Dependency,Service Interdependence (SIY),1,"Bogner2017","explicit"